2021-08-19 12:22:49.533  INFO [PensionerDetailService,,] 9656 --- [restartedMain] c.PensionerDetailMicroserviceApplication : Starting PensionerDetailMicroserviceApplication using Java 16.0.1 on DESKTOP-UBQ4MP1 with PID 9656 (C:\Users\Sanyam\Desktop\CTS-final-viva\PensionManagement\pensioner-detail-microservice\target\classes started by Sanyam in C:\Users\Sanyam\Desktop\CTS-final-viva\PensionManagement\pensioner-detail-microservice)
2021-08-19 12:22:49.543  INFO [PensionerDetailService,,] 9656 --- [restartedMain] c.PensionerDetailMicroserviceApplication : No active profile set, falling back to default profiles: default
2021-08-19 12:22:49.654  INFO [PensionerDetailService,,] 9656 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2021-08-19 12:22:49.654  INFO [PensionerDetailService,,] 9656 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2021-08-19 12:22:51.369  INFO [PensionerDetailService,,] 9656 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-08-19 12:22:51.459  INFO [PensionerDetailService,,] 9656 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 81 ms. Found 1 JPA repository interfaces.
2021-08-19 12:22:52.072  INFO [PensionerDetailService,,] 9656 --- [restartedMain] o.s.cloud.context.scope.GenericScope     : BeanFactory id=ebb79450-7510-3fb7-b0c0-78609648303c
2021-08-19 12:22:53.944  INFO [PensionerDetailService,,] 9656 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 9081 (http)
2021-08-19 12:22:53.969  INFO [PensionerDetailService,,] 9656 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2021-08-19 12:22:53.970  INFO [PensionerDetailService,,] 9656 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.50]
2021-08-19 12:22:54.262  INFO [PensionerDetailService,,] 9656 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2021-08-19 12:22:54.263  INFO [PensionerDetailService,,] 9656 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 4607 ms
2021-08-19 12:22:54.465  INFO [PensionerDetailService,,] 9656 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2021-08-19 12:22:54.924  INFO [PensionerDetailService,,] 9656 --- [restartedMain] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2021-08-19 12:22:54.937  INFO [PensionerDetailService,,] 9656 --- [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:testDB'
2021-08-19 12:22:55.559  WARN [PensionerDetailService,,] 9656 --- [restartedMain] o.s.c.s.a.z.ZipkinAutoConfiguration      : Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Connection refused: no further information; nested exception is java.net.ConnectException: Connection refused: no further information}]
2021-08-19 12:22:55.926  INFO [PensionerDetailService,,] 9656 --- [restartedMain] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2021-08-19 12:22:56.024  INFO [PensionerDetailService,,] 9656 --- [restartedMain] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.32.Final
2021-08-19 12:22:56.288  INFO [PensionerDetailService,,] 9656 --- [restartedMain] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-08-19 12:22:56.513  INFO [PensionerDetailService,,] 9656 --- [restartedMain] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2021-08-19 12:22:57.591  INFO [PensionerDetailService,,] 9656 --- [restartedMain] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-08-19 12:22:57.608  INFO [PensionerDetailService,,] 9656 --- [restartedMain] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-08-19 12:22:57.736  WARN [PensionerDetailService,,] 9656 --- [restartedMain] o.s.b.d.a.OptionalLiveReloadServer       : Unable to start LiveReload server
